seq,epoch_start,t_rel_s,latency_ms,status,ok,error
1081,1788581626.183,156.068,1093.02,200,True,
1082,1788581626.205,156.09,1092.11,200,True,
1083,1788581626.486,156.371,1009.92,200,True,
1084,1788581626.883,156.767,702.43,200,True,
1085,1788581626.477,156.361,1193.89,200,True,
1086,1788581627.021,156.906,706.3,200,True,
1087,1788581627.276,157.161,482.22,200,True,
1088,1788581627.496,157.381,486.86,200,True,
1089,1788581627.093,156.978,1091.61,200,True,
1090,1788581626.56,156.444,1642.76,200,True,
1091,1788581627.297,157.182,944.86,200,True,
1092,1788581626.594,156.479,1719.61,200,True,
1093,1788581626.773,156.658,1612.49,200,True,
1094,1788581627.67,157.555,844.03,200,True,
1095,1788581627.204,157.089,1390.38,200,True,
1096,1788581626.901,156.786,1876.75,200,True,
1097,1788581627.727,157.612,1084.4,200,True,
1098,1788581627.585,157.47,1239.66,200,True,
1099,1788581628.203,158.087,795.1,200,True,
1100,1788581628.386,158.27,688.33,200,True,
1101,1788581628.185,158.07,1056.26,200,True,
1102,1788581628.515,158.399,733.88,200,True,
1103,1788581628.595,158.479,790.32,200,True,
1104,1788581628.314,158.198,1101.96,200,True,
1105,1788581627.983,157.867,1506.33,200,True,
1106,1788581627.758,157.643,1741.36,200,True,
1107,1788581628.812,158.696,735.75,200,True,
1108,1788581628.825,158.71,856.02,200,True,
1109,1788581628.998,158.882,702.47,200,True,
1110,1788581628.242,158.127,1463.14,200,True,
1111,1788581629.547,159.432,528.96,200,True,
1112,1788581629.681,159.566,466.63,200,True,
1113,1788581629.074,158.959,1097.74,200,True,
1114,1788581628.778,158.663,1480.36,200,True,
1115,1788581629.248,159.133,1046.41,200,True,
1116,1788581629.241,159.126,1128.96,200,True,
1117,1788581629.385,159.27,1025.82,200,True,
1118,1788581630.076,159.961,557.62,200,True,
1119,1788581629.7,159.585,1007.0,200,True,
1120,1788581629.5,159.384,1215.05,200,True,
1121,1788581629.489,159.374,1303.63,200,True,
1122,1788581629.416,159.3,1381.59,200,True,
1123,1788581630.172,160.056,852.35,200,True,
1124,1788581629.705,159.59,1380.51,200,True,
1125,1788581630.715,160.599,487.89,200,True,
1126,1788581630.148,160.032,1160.13,200,True,
1127,1788581630.258,160.143,1049.39,200,True,
1128,1788581630.295,160.179,1078.81,200,True,
1129,1788581631.086,160.971,528.41,200,True,
1130,1788581631.024,160.909,620.62,200,True,
1131,1788581630.634,160.519,1029.18,200,True,
1132,1788581630.707,160.592,964.61,200,True,
1133,1788581630.411,160.296,1276.11,200,True,
1134,1788581630.793,160.677,1027.58,200,True,
1135,1788581631.308,161.192,659.53,200,True,
1136,1788581630.37,160.255,1638.4,200,True,
1137,1788581631.687,161.572,523.24,200,True,
1138,1788581631.202,161.087,1193.66,200,True,
1139,1788581630.797,160.682,1599.84,200,True,
1140,1788581631.614,161.499,1004.45,200,True,
1141,1788581631.645,161.529,976.62,200,True,
1142,1788581631.82,161.705,849.87,200,True,
1143,1788581632.21,162.095,511.66,200,True,
1144,1788581631.967,161.852,837.32,200,True,
1145,1788581631.308,161.192,1597.54,200,True,
1146,1788581632.009,161.893,988.07,200,True,
1147,1788581632.619,162.503,457.83,200,True,
1148,1788581631.374,161.258,2126.14,200,True,
1149,1788581632.396,162.281,1202.82,200,True,
1150,1788581632.621,162.506,1087.96,200,True,
1151,1788581632.905,162.79,806.17,200,True,
1152,1788581631.672,161.556,2045.55,200,True,
1153,1788581631.663,161.548,2065.84,200,True,
1154,1788581632.397,162.282,1594.81,200,True,
1155,1788581633.077,162.961,1032.77,200,True,
1156,1788581633.5,163.384,668.94,200,True,
1157,1788581632.805,162.689,1507.0,200,True,
1158,1788581633.992,163.876,469.15,200,True,
1159,1788581633.717,163.602,755.29,200,True,
1160,1788581632.67,162.555,1854.86,200,True,
1161,1788581634.169,164.053,532.06,200,True,
1162,1788581633.599,163.484,1124.51,200,True,
1163,1788581634.312,164.196,469.27,200,True,
1164,1788581632.722,162.607,2299.64,200,True,
1165,1788581634.525,164.41,681.9,200,True,
1166,1788581633.711,163.596,1497.97,200,True,
1167,1788581634.461,164.346,768.06,200,True,
1168,1788581634.781,164.665,530.81,200,True,
1169,1788581634.723,164.608,806.65,200,True,
1170,1788581632.997,162.881,2625.67,200,True,
1171,1788581635.022,164.906,678.12,200,True,
1172,1788581633.729,163.614,1994.97,200,True,
1173,1788581635.207,165.092,531.3,200,True,
1174,1788581633.709,163.594,2213.81,200,True,
1175,1788581635.209,165.094,813.53,200,True,
1176,1788581635.229,165.114,1032.57,200,True,
1177,1788581635.312,165.196,1056.95,200,True,
1178,1788581635.923,165.808,547.78,200,True,
1179,1788581636.023,165.908,512.25,200,True,
1180,1788581635.622,165.507,964.39,200,True,
1181,1788581635.738,165.623,973.96,200,True,
1182,1788581634.109,163.994,2615.53,200,True,
1183,1788581635.53,165.415,1295.33,200,True,
1184,1788581634.473,164.357,2455.12,200,True,
1185,1788581636.471,166.356,573.85,200,True,
1186,1788581636.262,166.146,1000.76,200,True,
1187,1788581636.535,166.42,761.8,200,True,
1188,1788581636.928,166.812,488.85,200,True,
1189,1788581636.712,166.597,729.85,200,True,
1190,1788581636.369,166.253,1106.8,200,True,
1191,1788581636.587,166.471,983.62,200,True,
1192,1788581634.701,164.585,3111.89,200,True,
1193,1788581636.825,166.71,1062.58,200,True,
1194,1788581635.7,165.584,2287.48,200,True,
1195,1788581637.442,167.327,615.69,200,True,
1196,1788581637.297,167.182,905.54,200,True,
1197,1788581637.57,167.455,732.0,200,True,
1198,1788581637.987,167.872,500.15,200,True,
1199,1788581637.417,167.301,1082.49,200,True,
1200,1788581638.302,168.187,432.22,200,True,
1201,1788581635.724,165.609,3092.92,200,True,
1202,1788581637.813,167.697,1071.93,200,True,
1203,1788581638.499,168.384,402.52,200,True,
1204,1788581636.725,166.61,2291.77,200,True,
1205,1788581637.888,167.773,1401.36,200,True,
1206,1788581638.203,168.087,1194.32,200,True,
1207,1788581638.058,167.942,1350.83,200,True,
1208,1788581638.735,168.619,735.16,200,True,
1209,1788581637.045,166.929,2740.91,200,True,
1210,1788581638.817,168.702,1065.7,200,True,
1211,1788581639.409,169.293,520.78,200,True,
1212,1788581638.885,168.769,1048.31,200,True,
1213,1788581639.47,169.354,466.17,200,True,
1214,1788581637.262,167.147,3017.57,200,True,
1215,1788581639.017,168.901,1313.16,200,True,
1216,1788581639.883,169.767,563.09,200,True,
1217,1788581639.289,169.174,1191.61,200,True,
1218,1788581639.786,169.67,771.93,200,True,
1219,1788581639.929,169.814,831.48,200,True,
1220,1788581639.397,169.281,1401.08,200,True,
1221,1788581637.475,167.36,3334.68,200,True,
1222,1788581640.28,170.165,727.66,200,True,
1223,1788581640.558,170.442,489.25,200,True,
1224,1788581638.487,168.372,2723.09,200,True,
1225,1788581640.481,170.366,770.47,200,True,
1226,1788581640.446,170.33,1027.99,200,True,
1227,1788581641.047,170.932,513.09,200,True,
1228,1788581641.008,170.892,586.87,200,True,
1229,1788581640.798,170.683,900.08,200,True,
1230,1788581640.761,170.645,987.97,200,True,
1231,1788581641.21,171.095,652.54,200,True,
1232,1788581640.81,170.695,1056.45,200,True,
1233,1788581638.902,168.786,3078.62,200,True,
1234,1788581641.56,171.445,493.52,200,True,
1235,1788581641.698,171.583,491.53,200,True,
1236,1788581639.933,169.817,2342.63,200,True,
1237,1788581641.474,171.358,984.99,200,True,
1238,1788581642.054,171.938,471.66,200,True,
1239,1788581641.749,171.633,840.74,200,True,
1240,1788581642.19,172.074,454.9,200,True,
1241,1788581641.594,171.479,1059.68,200,True,
1242,1788581641.251,171.136,1514.04,200,True,
1243,1788581641.863,171.748,962.42,200,True,
1244,1788581641.867,171.751,1001.91,200,True,
1245,1788581639.936,169.821,2968.42,200,True,
1246,1788581642.525,172.41,464.22,200,True,
1247,1788581642.459,172.343,573.61,200,True,
1248,1788581642.644,172.529,553.97,200,True,
1249,1788581640.33,170.214,2971.97,200,True,
1250,1788581642.825,172.71,500.24,200,True,
1251,1788581642.59,172.474,894.35,200,True,
1252,1788581642.654,172.539,1019.35,200,True,
1253,1788581642.765,172.65,985.13,200,True,
1254,1788581643.032,172.917,781.84,200,True,
1255,1788581641.98,171.865,1879.41,200,True,
1256,1788581642.868,172.753,1010.66,200,True,
1257,1788581643.484,173.369,470.15,200,True,
1258,1788581642.276,172.16,1679.72,200,True,
1259,1788581643.198,173.083,859.98,200,True,
1260,1788581642.989,172.874,1093.27,200,True,
1261,1788581643.674,173.558,722.93,200,True,
1262,1788581644.058,173.943,484.48,200,True,
1263,1788581642.904,172.789,1675.24,200,True,
1264,1788581643.302,173.186,1381.09,200,True,
1265,1788581643.954,173.839,733.82,200,True,
1266,1788581643.879,173.764,831.65,200,True,
1267,1788581644.396,174.281,460.08,200,True,
1268,1788581643.86,173.744,1112.44,200,True,
1269,1788581643.955,173.84,1072.84,200,True,
1270,1788581644.083,173.967,1056.39,200,True,
1271,1788581644.58,174.464,576.7,200,True,
1272,1788581644.688,174.572,515.19,200,True,
1273,1788581644.857,174.741,719.0,200,True,
1274,1788581643.326,173.21,2254.93,200,True,
1275,1788581645.156,175.041,541.51,200,True,
1276,1788581645.203,175.088,507.85,200,True,
1277,1788581643.751,173.635,1994.82,200,True,
1278,1788581644.972,174.857,784.42,200,True,
1279,1788581644.711,174.595,1122.57,200,True,
1280,1788581645.028,174.913,921.33,200,True,
1281,1788581645.139,175.024,834.44,200,True,
1282,1788581645.576,175.46,589.16,200,True,
1283,1788581645.711,175.596,487.83,200,True,
1284,1788581645.581,175.465,814.9,200,True,
1285,1788581645.949,175.834,615.58,200,True,
1286,1788581646.165,176.049,462.59,200,True,
1287,1788581643.814,173.699,2823.6,200,True,
1288,1788581646.199,176.083,454.6,200,True,
1289,1788581645.698,175.582,1000.1,200,True,
1290,1788581644.543,174.427,2191.92,200,True,
1291,1788581646.395,176.28,450.3,200,True,
1292,1788581646.627,176.512,495.86,200,True,
1293,1788581646.653,176.538,489.29,200,True,
1294,1788581646.698,176.583,455.67,200,True,
1295,1788581646.846,176.73,502.91,200,True,
1296,1788581645.757,175.641,1650.11,200,True,
1297,1788581645.833,175.718,1782.26,200,True,
1298,1788581644.683,174.568,3048.36,200,True,
1299,1788581645.745,175.63,1985.88,200,True,
1300,1788581647.407,177.291,509.84,200,True,
1301,1788581647.349,177.233,571.31,200,True,
1302,1788581647.616,177.5,522.34,200,True,
1303,1788581647.731,177.616,494.87,200,True,
1304,1788581647.916,177.801,461.52,200,True,
1305,1788581646.638,176.522,1769.57,200,True,
1306,1788581647.143,177.027,1465.99,200,True,
1307,1788581645.974,175.858,2760.59,200,True,
1308,1788581646.565,176.45,2169.77,200,True,
1309,1788581648.226,178.111,520.73,200,True,
1310,1788581647.731,177.616,1022.88,200,True,
1311,1788581647.92,177.805,955.45,200,True,
1312,1788581648.735,178.619,474.13,200,True,
1313,1788581648.378,178.263,861.24,200,True,
1314,1788581648.734,178.619,505.11,200,True,
1315,1788581649.209,179.093,474.8,200,True,
1316,1788581648.609,178.493,1121.61,200,True,
1317,1788581647.123,177.008,2611.57,200,True,
1318,1788581646.735,176.619,3095.57,200,True,
1319,1788581649.73,179.615,446.68,200,True,
1320,1788581648.747,178.631,1497.94,200,True,
1321,1788581649.735,179.619,523.22,200,True,
1322,1788581649.83,179.715,557.04,200,True,
1323,1788581648.754,178.639,2001.22,200,True,
1324,1788581650.258,180.143,516.76,200,True,
1325,1788581647.154,177.038,3621.1,200,True,
1326,1788581650.177,180.062,632.27,200,True,
1327,1788581648.138,178.023,2704.46,200,True,
