t_range_s,requests,rps,avg_ms,p95_ms,err_pct,replicas_mid,cpu_util_pct_mid
"[0,30)",120,4.0,3220.0,6178.4,0.0,2.0,1.0
"[30,60)",178,5.93,1955.0,4795.7,0.0,4.0,440.0
"[60,90)",199,6.63,1811.0,3877.5,0.0,4.0,440.0
"[90,120)",247,8.23,1443.0,2934.2,0.0,4.0,440.0
"[120,150)",282,9.4,1286.0,2399.5,0.0,4.0,440.0
"[150,180)",304,10.13,1181.0,2823.6,0.0,6.0,408.0
"[180,210)",306,10.2,1158.0,2716.5,0.0,6.0,408.0
"[210,240)",334,11.13,1079.0,2096.5,0.0,8.0,348.0
"[240,270)",0,,,,,8.0,348.0
"[270,300)",0,,,,,8.0,1.0
