t_range_s,requests,rps,avg_ms,p95_ms,err_pct,replicas_mid,cpu_util_pct_mid
"[0,30)",120,4.0,3346.0,6180.7,0.0,2.0,1.0
"[30,60)",123,4.1,2692.0,6089.0,0.0,2.0,435.0
"[60,90)",201,6.7,1807.0,3763.9,0.0,2.0,435.0
"[90,120)",224,7.47,1597.0,3046.4,0.0,4.0,425.0
"[120,150)",257,8.57,1399.0,3279.3,0.0,4.0,425.0
"[150,180)",274,9.13,1288.0,2917.7,0.0,6.0,389.0
"[180,210)",325,10.83,1109.0,2238.2,0.0,6.0,389.0
"[210,240)",341,11.37,1064.0,2077.0,0.0,6.0,389.0
"[240,270)",0,,,,,8.0,373.0
"[270,300)",0,,,,,8.0,1.0
