epoch,time_iso,hpa_current_replicas,hpa_desired_replicas,hpa_target_util_pct,hpa_current_util_pct,hpa_last_scale_time,pods_running,pods_pending,restarts_sum,cpu_m_sum,mem_mi_sum,per_pod_detail
1788580132.9,11:48:52,2,2,70,1,2026-09-05T03:47:31Z,2,0,0,2.0,204.0,"59d5d7f794-2mpxn:1m,102Mi | 59d5d7f794-pm2xc:1m,102Mi"
1788580148.3,11:49:08,2,2,70,1,2026-09-05T03:47:31Z,2,0,0,6.0,205.0,"59d5d7f794-2mpxn:2m,102Mi | 59d5d7f794-pm2xc:4m,103Mi"
1788580163.9,11:49:23,2,2,70,1,2026-09-05T03:47:31Z,2,0,0,2.0,205.0,"59d5d7f794-2mpxn:1m,102Mi | 59d5d7f794-pm2xc:1m,103Mi"
1788580179.4,11:49:39,2,2,70,1,2026-09-05T03:47:31Z,2,0,0,2.0,204.0,"59d5d7f794-2mpxn:1m,102Mi | 59d5d7f794-pm2xc:1m,102Mi"
1788580194.9,11:49:54,2,2,70,1,2026-09-05T03:47:31Z,2,0,0,4.0,204.0,"59d5d7f794-2mpxn:3m,102Mi | 59d5d7f794-pm2xc:1m,102Mi"
1788580210.5,11:50:10,2,2,70,1,2026-09-05T03:47:31Z,2,0,0,287.0,204.0,"59d5d7f794-2mpxn:136m,102Mi | 59d5d7f794-pm2xc:151m,102Mi"
1788580226.0,11:50:26,2,2,70,1,2026-09-05T03:47:31Z,2,0,0,936.0,206.0,"59d5d7f794-2mpxn:450m,103Mi | 59d5d7f794-pm2xc:486m,103Mi"
1788580241.5,11:50:41,2,4,70,435,2026-09-05T03:50:31Z,4,0,0,870.0,206.0,"59d5d7f794-2mpxn:445m,103Mi | 59d5d7f794-pm2xc:425m,103Mi"
1788580257.1,11:50:57,2,4,70,435,2026-09-05T03:50:31Z,4,0,0,1336.0,370.0,"59d5d7f794-2mpxn:431m,103Mi | 59d5d7f794-ld2xh:228m,82Mi | 59d5d7f794-pm2xc:452m,103Mi | 59d5d7f794-s99kg:225m,82Mi"
1788580272.6,11:51:12,2,4,70,435,2026-09-05T03:50:31Z,4,0,0,1766.0,414.0,"59d5d7f794-2mpxn:403m,103Mi | 59d5d7f794-ld2xh:493m,104Mi | 59d5d7f794-pm2xc:480m,103Mi | 59d5d7f794-s99kg:390m,104Mi"
1788580288.2,11:51:28,2,4,70,435,2026-09-05T03:50:31Z,4,0,0,1701.0,414.0,"59d5d7f794-2mpxn:400m,103Mi | 59d5d7f794-ld2xh:501m,104Mi | 59d5d7f794-pm2xc:454m,103Mi | 59d5d7f794-s99kg:346m,104Mi"
1788580303.8,11:51:43,4,6,70,425,2026-09-05T03:51:31Z,6,0,0,2322.0,580.0,"59d5d7f794-2mpxn:418m,103Mi | 59d5d7f794-ld2xh:500m,104Mi | 59d5d7f794-pm2xc:458m,104Mi | 59d5d7f794-qm6c7:218m,82Mi | 59d5d7f794-s99kg:501m,105Mi | 59d5d7f794-t5xw7:227m,82Mi"
1788580319.3,11:51:59,4,6,70,425,2026-09-05T03:51:31Z,6,0,0,2177.0,622.0,"59d5d7f794-2mpxn:456m,102Mi | 59d5d7f794-ld2xh:443m,104Mi | 59d5d7f794-pm2xc:273m,103Mi | 59d5d7f794-qm6c7:320m,104Mi | 59d5d7f794-s99kg:329m,105Mi | 59d5d7f794-t5xw7:356m,104Mi"
