seq,epoch_start,t_rel_s,latency_ms,status,ok,error
1,1788580193.797,0.0,930.69,200,True,
2,1788580193.797,0.0,951.82,200,True,
3,1788580193.797,0.0,1057.45,200,True,
4,1788580193.797,0.0,1061.31,200,True,
5,1788580193.797,0.0,1944.76,200,True,
6,1788580193.797,0.0,2001.41,200,True,
7,1788580193.797,0.0,2054.93,200,True,
8,1788580193.797,0.0,2108.13,200,True,
9,1788580194.727,0.931,2038.82,200,True,
10,1788580193.797,0.0,3014.44,200,True,
11,1788580194.854,1.057,2092.73,200,True,
12,1788580193.797,0.0,3206.32,200,True,
13,1788580193.797,0.0,4025.17,200,True,
14,1788580195.742,1.945,2114.22,200,True,
15,1788580195.798,2.001,2167.13,200,True,
16,1788580193.803,0.006,4213.58,200,True,
17,1788580195.852,2.055,3034.52,200,True,
18,1788580194.749,0.952,4174.24,200,True,
19,1788580195.905,2.108,3060.17,200,True,
20,1788580194.858,1.061,4137.31,200,True,
21,1788580196.766,2.97,3133.88,200,True,
22,1788580196.811,3.014,3162.48,200,True,
23,1788580197.003,3.206,2975.36,200,True,
24,1788580196.947,3.15,3084.89,200,True,
25,1788580197.856,4.059,2988.25,200,True,
26,1788580197.822,4.025,3162.73,200,True,
27,1788580197.965,4.169,3038.53,200,True,
28,1788580199.9,6.103,1115.94,200,True,
29,1788580201.004,7.207,941.76,200,True,
30,1788580198.016,4.22,3982.32,200,True,
31,1788580198.886,5.089,3117.93,200,True,
32,1788580200.985,7.188,1029.11,200,True,
33,1788580202.004,8.207,519.27,200,True,
34,1788580198.923,5.126,4078.99,200,True,
35,1788580202.523,8.727,518.76,200,True,
36,1788580198.965,5.168,4118.33,200,True,
37,1788580198.995,5.199,5012.72,200,True,
38,1788580203.002,9.205,1019.76,200,True,
39,1788580203.042,9.245,981.0,200,True,
40,1788580199.974,6.177,4131.24,200,True,
41,1788580204.008,10.211,530.87,200,True,
42,1788580199.978,6.182,5030.87,200,True,
43,1788580200.032,6.235,5072.86,200,True,
44,1788580205.009,11.213,815.54,200,True,
45,1788580200.844,7.047,5241.88,200,True,
46,1788580201.016,7.219,5087.97,200,True,
47,1788580205.105,11.308,1020.01,200,True,
48,1788580205.825,12.028,926.69,200,True,
49,1788580201.946,8.149,5058.62,200,True,
50,1788580206.086,12.289,1063.72,200,True,
51,1788580201.999,8.202,5197.66,200,True,
52,1788580206.104,12.307,1640.72,200,True,
53,1788580202.014,8.217,5994.49,200,True,
54,1788580206.125,12.328,2027.91,200,True,
55,1788580203.083,9.287,5111.07,200,True,
56,1788580206.752,12.955,1996.49,200,True,
57,1788580204.022,10.225,5067.11,200,True,
58,1788580207.004,13.207,2232.96,200,True,
59,1788580204.023,10.226,5261.87,200,True,
60,1788580207.15,13.353,2589.34,200,True,
