seq,epoch_start,t_rel_s,latency_ms,status,ok,error
1,1788578926.575,0.0,1002.2,200,True,
2,1788578926.575,0.0,1019.72,200,True,
3,1788578926.575,0.0,1023.98,200,True,
4,1788578926.575,0.0,1028.1,200,True,
5,1788578926.575,0.0,2028.83,200,True,
6,1788578926.575,0.0,2036.03,200,True,
7,1788578926.575,0.0,2130.11,200,True,
8,1788578926.575,0.0,2134.14,200,True,
9,1788578926.575,0.0,3045.76,200,True,
10,1788578927.577,1.002,2139.77,200,True,
11,1788578926.575,0.0,3217.9,200,True,
12,1788578926.575,0.0,3224.81,200,True,
13,1788578927.603,1.028,3031.49,200,True,
14,1788578927.599,1.024,3125.73,200,True,
15,1788578926.575,0.0,4237.15,200,True,
16,1788578927.594,1.02,3227.72,200,True,
17,1788578928.604,2.029,3033.71,200,True,
18,1788578929.793,3.218,2017.9,200,True,
19,1788578928.705,2.13,3204.04,200,True,
20,1788578928.611,2.036,3316.06,200,True,
21,1788578928.709,2.134,3933.35,200,True,
22,1788578930.724,4.15,2188.8,200,True,
23,1788578930.812,4.237,2102.7,200,True,
24,1788578929.621,3.046,3407.47,200,True,
25,1788578929.717,3.142,3923.1,200,True,
26,1788578931.811,5.236,2103.07,200,True,
27,1788578930.822,4.247,3193.99,200,True,
28,1788578929.8,3.225,4234.24,200,True,
29,1788578930.634,4.06,3995.22,200,True,
30,1788578933.028,6.453,1885.38,200,True,
31,1788578933.914,7.339,1098.53,200,True,
32,1788578931.637,5.063,3403.53,200,True,
33,1788578931.909,5.334,3724.62,200,True,
34,1788578934.63,8.055,1293.59,200,True,
35,1788578931.927,5.352,4112.16,200,True,
36,1788578934.913,8.339,1192.29,200,True,
37,1788578932.642,6.067,3993.39,200,True,
38,1788578935.012,8.437,1990.02,200,True,
39,1788578932.913,6.339,4201.76,200,True,
40,1788578935.634,9.059,1567.13,200,True,
41,1788578932.915,6.34,4720.77,200,True,
42,1788578935.923,9.348,2177.07,200,True,
43,1788578936.106,9.531,2011.79,200,True,
44,1788578933.64,7.065,4571.89,200,True,
45,1788578934.016,7.441,4691.48,200,True,
46,1788578938.212,11.637,497.47,200,True,
47,1788578934.034,7.459,5172.83,200,True,
48,1788578939.207,12.632,486.91,200,True,
49,1788578935.041,8.466,4762.35,200,True,
50,1788578936.039,9.464,4170.51,200,True,
51,1788578936.636,10.061,4161.12,200,True,
52,1788578937.002,10.427,4196.23,200,True,
53,1788578937.115,10.54,4690.68,200,True,
54,1788578937.201,10.626,4989.65,200,True,
55,1788578941.806,15.231,470.91,200,True,
56,1788578937.635,11.061,5162.82,200,True,
57,1788578942.19,15.616,1068.04,200,True,
58,1788578938.1,11.525,5173.79,200,True,
59,1788578942.277,15.702,1087.6,200,True,
60,1788578938.117,11.543,5664.91,200,True,
61,1788578938.708,12.133,5567.02,200,True,
62,1788578943.258,16.684,1095.92,200,True,
63,1788578942.798,16.223,1560.77,200,True,
64,1788578938.709,12.134,6050.5,200,True,
65,1788578939.694,13.119,5569.44,200,True,
66,1788578943.364,16.789,1984.62,200,True,
67,1788578943.274,16.699,2170.94,200,True,
68,1788578939.803,13.228,5962.43,200,True,
69,1788578940.21,13.635,6047.18,200,True,
70,1788578943.782,17.208,2650.01,200,True,
71,1788578944.275,17.7,2171.17,200,True,
72,1788578940.797,14.222,6054.49,200,True,
73,1788578941.198,14.624,5939.2,200,True,
74,1788578944.354,17.78,2987.42,200,True,
75,1788578944.359,17.784,3169.89,200,True,
76,1788578947.342,20.767,788.78,200,True,
77,1788578947.529,20.954,796.85,200,True,
78,1788578944.76,18.185,3571.33,200,True,
79,1788578945.263,18.688,3269.43,200,True,
