epoch,time_iso,hpa_current_replicas,hpa_desired_replicas,hpa_target_util_pct,hpa_current_util_pct,hpa_last_scale_time,pods_running,pods_pending,restarts_sum,cpu_m_sum,mem_mi_sum,per_pod_detail
1788578862.6,11:27:42,2,2,70,3,,2,0,9,6.0,244.0,"59d5d7f794-gfnsw:2m,104Mi | 59d5d7f794-rfzwz:4m,140Mi"
1788578878.2,11:27:58,2,2,70,3,,2,0,9,2.0,244.0,"59d5d7f794-gfnsw:1m,104Mi | 59d5d7f794-rfzwz:1m,140Mi"
1788578893.8,11:28:13,2,2,70,3,,2,0,9,3.0,244.0,"59d5d7f794-gfnsw:2m,105Mi | 59d5d7f794-rfzwz:1m,139Mi"
1788578909.3,11:28:29,2,2,70,3,,2,0,9,5.0,244.0,"59d5d7f794-gfnsw:2m,104Mi | 59d5d7f794-rfzwz:3m,140Mi"
1788578924.8,11:28:44,2,2,70,2,,2,0,9,4.0,244.0,"59d5d7f794-gfnsw:1m,104Mi | 59d5d7f794-rfzwz:3m,140Mi"
1788578940.3,11:29:00,2,2,70,2,,2,0,9,804.0,244.0,"59d5d7f794-gfnsw:409m,104Mi | 59d5d7f794-rfzwz:395m,140Mi"
1788578955.8,11:29:15,2,2,70,2,,2,0,9,903.0,244.0,"59d5d7f794-gfnsw:418m,104Mi | 59d5d7f794-rfzwz:485m,140Mi"
1788578971.4,11:29:31,2,2,70,2,,2,0,9,927.0,246.0,"59d5d7f794-gfnsw:476m,105Mi | 59d5d7f794-rfzwz:451m,141Mi"
1788578986.9,11:29:46,2,4,70,463,2026-09-05T03:29:31Z,4,0,9,1347.0,410.0,"59d5d7f794-2mpxn:205m,82Mi | 59d5d7f794-gfnsw:470m,105Mi | 59d5d7f794-mm7cz:212m,83Mi | 59d5d7f794-rfzwz:460m,140Mi"
1788579002.4,11:30:02,2,4,70,463,2026-09-05T03:29:31Z,4,0,9,1706.0,453.0,"59d5d7f794-2mpxn:395m,103Mi | 59d5d7f794-gfnsw:457m,105Mi | 59d5d7f794-mm7cz:477m,105Mi | 59d5d7f794-rfzwz:377m,140Mi"
